Category,name,mrp,discountPercent,availableQuantity,discountedSellingPrice,weightInGms,outOfStock,quantity,weight,total inventory weight
Ice Cream & Desserts,Bagrrys Fruit N Fibre Muesli - Strawberry,5.95,0,1,5.95,1000,FALSE,1,low,1000
Chocolates & Candies,Bagrrys Fruit N Fibre Muesli - Strawberry,5.95,0,1,5.95,1000,FALSE,1,low,1000
Packaged Food,Organic India Apple Cider Vinegar,5.95,9,2,5.36,500,FALSE,500,low,1000
Ice Cream & Desserts,Organic India Apple Cider Vinegar,5.95,9,2,5.36,500,FALSE,500,low,1000
Chocolates & Candies,Organic India Apple Cider Vinegar,5.95,9,2,5.36,500,FALSE,500,low,1000
Cooking Essentials,Fortune Rozana Basmati Rice,5.85,21,6,4.62,5000,FALSE,5,bulk,30000
Munchies,Fortune Rozana Basmati Rice,5.85,21,6,4.62,5000,FALSE,5,bulk,30000
Cooking Essentials,Gowardhan Cow Ghee Pouch,5.79,10,6,5.21,1000,FALSE,1,low,6000
Munchies,Gowardhan Cow Ghee Pouch,5.79,10,6,5.21,1000,FALSE,1,low,6000
Cooking Essentials,Patanjali Cow's Ghee,5.65,0,0,5.65,1000,TRUE,1,low,0
Munchies,Patanjali Cow's Ghee,5.65,0,0,5.65,1000,TRUE,1,low,0
Personal Care,Sunsilk Lusciously Thick & Long Shampoo,5.55,6,6,5.21,650,FALSE,650,low,3900
Paan Corner,Sunsilk Lusciously Thick & Long Shampoo,5.55,6,6,5.21,650,FALSE,650,low,3900
Personal Care,Sunsilk Stunning Black Shine Shampoo,5.55,6,6,5.21,650,FALSE,650,low,3900
Paan Corner,Sunsilk Stunning Black Shine Shampoo,5.55,6,6,5.21,650,FALSE,650,low,3900
Personal Care,Whisper Ultra Soft XL+ Sanitary Pads,5.55,0,1,5.55,60,FALSE,60,low,60
Paan Corner,Whisper Ultra Soft XL+ Sanitary Pads,5.55,0,1,5.55,60,FALSE,60,low,60
Health & Hygiene,Whisper Ultra Soft XL+ Sanitary Pads,5.55,0,1,5.55,60,FALSE,60,low,60
Packaged Food,Kellogg's Real Almond & Honey Corn Flakes,5.5,5,3,5.2,1000,FALSE,1,low,3000
